"","Sample","Reads","pass"
"1","Abe-1995-95EK1",11084452,"Y"
"2","Abe-1995-95EK12",14996172,"Y"
"3","Abe-1995-95EK13",8521731,"Y"
"4","Abe-1995-95EK17",17177871,"Y"
"5","Abe-1995-95EK2",7487372,"Y"
"6","Abe-1995-95EK3",11466838,"Y"
"7","Abe-1995-95EK7",6265768,"Y"
"8","Abe-1995-95EK9",8326648,"Y"
"9","Ada-2001-EC01",2550951,"N"
"10","Ada-2001-EC02",7878381,"Y"
"11","Ada-2001-EC03",15969118,"Y"
"12","Ada-2001-EC04",18581722,"Y"
"13","Ada-2001-EC05",5768595,"Y"
"14","Ada-2002-EC01",23818977,"Y"
"15","Ada-2002-EC02",33666975,"Y"
"16","Ada-2002-EC03",16658883,"Y"
"17","And-2003-Kand0309.001",1576282,"N"
"18","And-2003-Kand0309.004",12279113,"Y"
"19","And-2003-Kand0309.008",6473711,"Y"
"20","And-2003-Kand0309.010",3960977,"Y"
"21","And-2003-Kand0309.016",17815597,"Y"
"22","And-2003-Kand0309.018",17488050,"Y"
"23","And-2003-Kand0309.019",19412187,"Y"
"24","BigB-2021-219242",3847743,"Y"
"25","BigB-2021-219243",42307970,"Y"
"26","BigB-2021-219244",25309343,"Y"
"27","BigB-2021-219245",4148785,"Y"
"28","BigB-2021-219247",7879869,"Y"
"29","BigB-2021-219248",12326919,"Y"
"30","BigB-2021-219249",23762220,"Y"
"31","BigB-2021-219250",33181080,"Y"
"32","BigS-2016-0047",15946291,"Y"
"33","BigS-2016-0048",7021264,"Y"
"34","BigS-2016-0049",5705118,"Y"
"35","BigS-2016-0051",11123344,"Y"
"36","BigS-2016-0053",17077157,"Y"
"37","BigS-2016-0054",39093990,"Y"
"38","BigS-2016-0055",22385593,"Y"
"39","BigS-2016-0056",7645551,"Y"
"40","Bir-2005-EC03",12221610,"Y"
"41","Bir-2005-EC04",24889397,"Y"
"42","Bir-2005-EC06",23644562,"Y"
"43","Bir-2005-EC07",19465569,"Y"
"44","Bir-2005-EC09",18244754,"Y"
"45","Bir-2005-EC10",23220687,"Y"
"46","Bir-2005-EC11",16805971,"Y"
"47","Bir-2005-EC12",38258641,"Y"
"48","Blu-2001-EC01",11903898,"Y"
"49","Blu-2001-EC02",14558507,"Y"
"50","Blu-2001-EC03",7040283,"Y"
"51","Blu-2004-EC01",11486791,"Y"
"52","Blu-2004-EC03",10604512,"Y"
"53","Blu-2009-EC02",25502048,"Y"
"54","Blu-2009-EC04",14752147,"Y"
"55","Blu-2010-EC04",25427096,"Y"
"56","Car-2001-UC-15C",33334829,"Y"
"57","Car-2001-UC-16A",9994619,"Y"
"58","Car-2001-UC-16B",1820078,"N"
"59","Car-2001-UC-16C",10616177,"Y"
"60","Car-2001-UC-16D",9062552,"Y"
"61","Car-2001-UC-2",35570273,"Y"
"62","Car-2001-UC-3",19669872,"Y"
"63","Car-2001-UC-7",20807289,"Y"
"64","Che-2007-EC02",12335298,"Y"
"65","Che-2007-EC04",8995348,"Y"
"66","Che-2007-EC05",3585517,"Y"
"67","Che-2007-EC06",929,"N"
"68","Che-2007-EC07",26243944,"Y"
"69","Che-2007-EC08",8876794,"Y"
"70","Che-2007-EC09",218592,"N"
"71","Che-2007-EC10",3928938,"Y"
"72","Cow-2016-EC01",138114,"N"
"73","Cow-2016-EC02",2119538,"N"
"74","Cow-2016-EC03",18301585,"Y"
"75","Cow-2016-EC04",26529856,"Y"
"76","Cow-2016-EC06",26073578,"Y"
"77","Cow-2016-EC07",12154801,"Y"
"78","Cow-2016-EC08",14310957,"Y"
"79","Cow-2016-EC09",4609,"N"
"80","Dea-2006-EC01",21978899,"Y"
"81","Dea-2006-EC02",20138682,"Y"
"82","Dea-2006-EC03",26673650,"Y"
"83","Dea-2006-EC04",10240029,"Y"
"84","Dea-2006-EC05",1174,"N"
"85","Dea-2006-EC06",14861472,"Y"
"86","Dea-2006-EC07",4019851,"Y"
"87","Dea-2006-EC08",35809852,"Y"
"88","Dud-2006-EC01",13351104,"Y"
"89","Dud-2006-EC02",26845173,"Y"
"90","Dud-2006-EC03",39960954,"Y"
"91","Dud-2006-EC04",15671216,"Y"
"92","Dud-2006-EC05",1936234,"N"
"93","Dud-2006-EC06",4063335,"Y"
"94","Dud-2006-EC07",5458230,"Y"
"95","Dud-2006-EC08",9748874,"Y"
"96","Dut-2006-EC03",13204222,"Y"
"97","Dut-2006-EC04",123719,"N"
"98","Dut-2006-EC06",2757058,"N"
"99","Dut-2006-EC07",15489315,"Y"
"100","Dut-2006-EC09",3958108,"Y"
"101","Dut-2006-EC10",11391838,"Y"
"102","Dut-2006-EC11",494,"N"
"103","Dut-2010-EC04",16464833,"Y"
"104","Ecs-2003-EC01",2241393,"N"
"105","Ecs-2003-EC02",24722513,"Y"
"106","Ecs-2003-EC03",20519935,"Y"
"107","Ecs-2003-EC04",13331415,"Y"
"108","Ecs-2003-EC05",13653988,"Y"
"109","Ecs-2003-EC06",21330880,"Y"
"110","Ecs-2003-EC07",7525664,"Y"
"111","Ecs-2003-EC08",16878328,"Y"
"112","End-2006-EC01",7674896,"Y"
"113","End-2006-EC02",6118433,"Y"
"114","End-2006-EC05",8249549,"Y"
"115","End-2006-EC08",11623805,"Y"
"116","End-2006-EC10",11235232,"Y"
"117","End-2006-EC12",3378937,"Y"
"118","End-2006-EC18",23965346,"Y"
"119","HarB-2020-75401",19525815,"Y"
"120","Harr-2006-K045",29692387,"Y"
"121","Harr-2006-K047",4062935,"Y"
"122","Harr-2006-K053",16026308,"Y"
"123","Harr-2006-K054",14324008,"Y"
"124","Harr-2006-K057",11651864,"Y"
"125","Harr-2006-K059",9912044,"Y"
"126","Harr-2006-K066",497,"N"
"127","Hoo-2005-EC03",8487461,"Y"
"128","Hoo-2005-EC05",6183126,"Y"
"129","Hoo-2005-EC06",32013731,"Y"
"130","Hoo-2005-EC07",16599156,"Y"
"131","Hoo-2005-EC09",13491953,"Y"
"132","Hoo-2005-EC10",3839427,"Y"
"133","Hoo-2005-EC11",34407428,"Y"
"134","Imn-1999-351",11123344,"Y"
"135","Imn-1999-352",13786622,"Y"
"136","Imn-1999-353",34434710,"Y"
"137","Imn-1999-354",31164518,"Y"
"138","Imn-1999-355",9447060,"Y"
"139","Imn-1999-356",23389415,"Y"
"140","Imn-1999-357",11750533,"Y"
"141","Imn-1999-359",14245369,"Y"
"142","Kao-2010-201",187582,"N"
"143","Kao-2010-202",4667294,"Y"
"144","Kao-2010-203",24657103,"Y"
"145","Kao-2010-204",6050124,"Y"
"146","Kao-2010-205",20772782,"Y"
"147","Kao-2010-207",16284742,"Y"
"148","Kao-2010-208",6943713,"Y"
"149","Kao-2010-209",20345712,"Y"
"150","Kil-2000-K1",10169158,"Y"
"151","Kil-2000-K11",12416877,"Y"
"152","Kil-2000-K18",20399307,"Y"
"153","Kil-2000-K24",29888912,"Y"
"154","Kil-2000-K28",12215456,"Y"
"155","Kil-2000-K30",10117701,"Y"
"156","Kil-2000-K31",15398944,"Y"
"157","Kil-2000-K5",30618063,"Y"
"158","Kild-2000-EC01",20530413,"Y"
"159","Kild-2000-EC02",28509556,"Y"
"160","Kild-2000-EC03",19126128,"Y"
"161","Kild-2000-EC04",32197126,"Y"
"162","Kild-2000-EC05",5998401,"Y"
"163","Kild-2000-EC06",2777821,"N"
"164","Kild-2000-EC07",11858765,"Y"
"165","Kild-2000-EC08",24161213,"Y"
"166","Kin-1999-EC01",47498,"N"
"167","Kin-1999-EC02",27985598,"Y"
"168","Kin-1999-EC03",5235971,"Y"
"169","Kin-1999-EC06",22129829,"Y"
"170","Kin-1999-EC07",21325512,"Y"
"171","Kin-1999-EC08",23690911,"Y"
"172","Kin-1999-EC09",10134045,"Y"
"173","Kitl-2006-EC01",6558078,"Y"
"174","Kitl-2006-EC02",30832764,"Y"
"175","Kitl-2006-EC03",3245110,"Y"
"176","Kitl-2006-EC04",3529486,"Y"
"177","Kitl-2006-EC07",5295579,"Y"
"178","Kitl-2006-EC08",481,"N"
"179","Kitl-2006-EC09",22425586,"Y"
"180","Kitl-2006-EC10",7908336,"Y"
"181","Kits-1995-13",12828363,"Y"
"182","Kits-1995-17",31881457,"Y"
"183","Kits-1995-18",25365450,"Y"
"184","Kits-1995-2",24084227,"Y"
"185","Kits-1995-24",15935396,"Y"
"186","Kits-1995-4",10374796,"Y"
"187","Kits-1995-EC01",14031369,"Y"
"188","Kits-1995-EC02",16887306,"Y"
"189","Kitw-2002-EC01",15475905,"Y"
"190","Kitw-2002-EC02",6244274,"Y"
"191","Kitw-2002-EC03",24629387,"Y"
"192","Kitw-2002-EC04",30824867,"Y"
"193","Kitw-2002-EC05",21175343,"Y"
"194","Kitw-2002-EC06",24856594,"Y"
"195","Kitw-2002-EC07",23830964,"Y"
"196","Kitw-2002-EC08",9365360,"Y"
"197","Klin-2002-EC01",18801637,"Y"
"198","Klin-2002-EC02",2177623,"N"
"199","Klin-2002-EC03",8339633,"Y"
"200","Klin-2002-EC04",12455207,"Y"
"201","Klin-2002-EC06",18190799,"Y"
"202","Klin-2002-EC08",26945226,"Y"
"203","Klo-2007-EC02",6593314,"Y"
"204","Klo-2007-EC03",15380178,"Y"
"205","Klo-2007-EC04",13060347,"Y"
"206","Klo-2007-EC05",43064,"N"
"207","Klo-2007-EC06",18755636,"Y"
"208","Klo-2007-EC08",9165884,"Y"
"209","Klo-2007-EC10",34456249,"Y"
"210","Kwi-1996-CH-KW-96-12",14851569,"Y"
"211","Kwi-1996-CH-KW-96-18",24532499,"Y"
"212","Kwi-1996-CH-KW-96-31",80231695,"Y"
"213","Kwi-1996-CH-KW-96-32",18846611,"Y"
"214","Kwi-1996-CH-KW-96-38",17697542,"Y"
"215","Kwi-1996-CH-KW-96-39",46659286,"Y"
"216","Kwi-1996-CH-KW-96-70",1747,"N"
"217","Kwi-1996-CH-KW-96-72",10416556,"Y"
"218","May-2009-EC01",16166586,"Y"
"219","May-2009-EC02",1199,"N"
"220","May-2009-EC03",20026529,"Y"
"221","May-2009-EC04",6160637,"Y"
"222","May-2009-EC05",32280836,"Y"
"223","May-2009-EC09",15276149,"Y"
"224","May-2009-EC10",27492108,"Y"
"225","May-2009-EC11",11426845,"Y"
"226","Mor-2009-EC01",27371020,"Y"
"227","Mor-2009-EC04",26266600,"Y"
"228","Mor-2009-EC06",16481963,"Y"
"229","Mor-2009-EC08",42302789,"Y"
"230","Mor-2009-EC10",12394634,"Y"
"231","Mor-2009-EC11",18693160,"Y"
"232","Mor-2009-EC12",4493,"N"
"233","Mor-2009-EC13",5183413,"Y"
"234","Moy-2010-4501",25815293,"Y"
"235","Moy-2010-4520",8577567,"Y"
"236","Moy-2010-4524",12903258,"Y"
"237","Moy-2010-6515",7663950,"Y"
"238","Moy-2010-6595",8691568,"Y"
"239","Moy-2010-6596",4943709,"Y"
"240","Moy-2010-6598",14307846,"Y"
"241","Moy-2010-6599",21342001,"Y"
"242","Nah-2010-EC01",8291737,"Y"
"243","Nah-2010-EC02",11424906,"Y"
"244","Nah-2010-EC04",198579,"N"
"245","Nah-2010-EC05",3245550,"Y"
"246","Nah-2010-EC06",18526652,"Y"
"247","Nah-2010-EC08",8713430,"Y"
"248","Nah-2010-EC09",7132953,"Y"
"249","Nah-2010-EC10",29533451,"Y"
"250","Nim-2010-1402",16280174,"Y"
"251","Nim-2010-1403",26567715,"Y"
"252","Nim-2010-1408",13943034,"Y"
"253","Nim-2010-1409",17896634,"Y"
"254","Nim-2010-1410",9352561,"Y"
"255","Nim-2010-1411",17885678,"Y"
"256","Nim-2010-1412",20804457,"Y"
"257","Nim-2010-1441",9490804,"Y"
"258","Nor-2006-EC01",6438876,"Y"
"259","Nor-2006-EC02",21480119,"Y"
"260","Nor-2006-EC03",24773268,"Y"
"261","Nor-2006-EC04",22097292,"Y"
"262","Nor-2006-EC06",13813481,"Y"
"263","Nor-2006-EC07",11548647,"Y"
"264","Nor-2006-EC08",11291890,"Y"
"265","Nor-2006-EC09",29239928,"Y"
"266","Nus-2018-54305",39271,"N"
"267","Nus-2018-54306",23272073,"Y"
"268","Nus-2018-54311",17011960,"Y"
"269","Nus-2018-54312",32761307,"Y"
"270","Nus-2018-54401",17045127,"Y"
"271","Nus-2018-54402",4453666,"Y"
"272","Nus-2018-54404",18099831,"Y"
"273","Nus-2018-54407",13688331,"Y"
"274","Oka-2007-13620",136460,"N"
"275","Oka-2007-13621",6185196,"Y"
"276","Oka-2007-13622",26477500,"Y"
"277","Oka-2007-13623",6657579,"Y"
"278","Oka-2007-13626",13925740,"Y"
"279","Oka-2007-13630",27164643,"Y"
"280","Oka-2007-13631",24852707,"Y"
"281","Oka-2007-13634",1468288,"N"
"282","Phi-2010-601",8799214,"Y"
"283","Phi-2010-603",21105772,"Y"
"284","Phi-2010-604",28314279,"Y"
"285","Phi-2010-606",10713346,"Y"
"286","Phi-2010-607",15797656,"Y"
"287","Phi-2010-608",19605755,"Y"
"288","Phi-2010-609",21020224,"Y"
"289","Phi-2010-610",41698116,"Y"
"290","Pit-2003-H1",26999122,"Y"
"291","Pit-2003-H3",21526633,"Y"
"292","Pit-2003-H5",25338640,"Y"
"293","Pit-2003-H6",5326943,"Y"
"294","Pit-2006-EC06",13993886,"Y"
"295","Pit-2006-EC08",33107471,"Y"
"296","Pit-2006-EC09",21978813,"Y"
"297","Pit-2006-EC12",10474343,"Y"
"298","Por-2001-EC01",1827584,"N"
"299","Por-2001-EC03",6753479,"Y"
"300","Por-2001-EC04",17227795,"Y"
"301","Por-2005-EC01",50277888,"Y"
"302","Por-2005-EC02",16385320,"Y"
"303","Por-2005-EC03",20169615,"Y"
"304","Por-2005-EC04",4434,"N"
"305","Por-2005-EC06",5588288,"Y"
"306","Raf-2002-EC04",8958968,"Y"
"307","Raf-2009-EC02",39722777,"Y"
"308","Raf-2011-EC03",199089,"N"
"309","Raf-2011-EC04",3330245,"Y"
"310","Raf-2011-EC05",5012033,"Y"
"311","Raf-2011-EC06",7128412,"Y"
"312","Raf-2011-EC07",44929036,"Y"
"313","Raf-2011-EC10",22739675,"Y"
"314","Sal-2015-12",8809468,"Y"
"315","Sal-2015-13",16219429,"Y"
"316","Sal-2015-14",49168098,"Y"
"317","Sal-2015-15",15795145,"Y"
"318","Sal-2015-16",1436364,"N"
"319","Sal-2015-17",14197699,"Y"
"320","Sal-2015-18",8285156,"Y"
"321","Sal-2015-20",15930188,"Y"
"322","San-2002-EC01",21043768,"Y"
"323","San-2002-EC05",21373111,"Y"
"324","San-2002-EC06",8634150,"Y"
"325","San-2015-3863",11112591,"Y"
"326","San-2015-3865",9888923,"Y"
"327","San-2015-3867",15992318,"Y"
"328","San-2015-3868",18549250,"Y"
"329","San-2015-3869",1876164,"N"
"330","Sar-2001-EC01",17903270,"Y"
"331","Sar-2001-EC02",9158824,"Y"
"332","Sar-2001-EC03",5120301,"Y"
"333","Sar-2001-EC04",9554711,"Y"
"334","Sar-2001-EC07",2340890,"N"
"335","Sar-2001-EC08",21608386,"Y"
"336","Sar-2001-EC10",30292232,"Y"
"337","SerB-2020-102401",21381173,"Y"
"338","SerB-2020-102402",22588774,"Y"
"339","SerB-2020-102403",16156196,"Y"
"340","SerB-2020-102404",25064340,"Y"
"341","SerB-2020-102405",32727051,"Y"
"342","SerB-2020-102407",15585464,"Y"
"343","SerB-2020-102408",1248,"N"
"344","SerB-2020-102410",3968641,"Y"
"345","Sey-2010-EC04",25060806,"Y"
"346","Sey-2010-EC07",10302820,"Y"
"347","Sey-2010-EC09",30841486,"Y"
"348","Sey-2011-EC02",25913428,"Y"
"349","Sey-2011-EC03",15208723,"Y"
"350","Sey-2011-EC06",18991785,"Y"
"351","Sey-2011-EC07",23822538,"Y"
"352","Sey-2011-EC09",6681642,"Y"
"353","Siu-2011-009",24335468,"Y"
"354","Siu-2011-010",14777911,"Y"
"355","Siu-2011-012",20002483,"Y"
"356","Siu-2011-013",25301398,"Y"
"357","Siu-2011-149",16263410,"Y"
"358","Siu-2011-201",11852028,"Y"
"359","Siu-2011-202",10777053,"Y"
"360","Siu-2011-206",11162099,"Y"
"361","Sli-2001-EC08",2132063,"N"
"362","Sli-2001-EC11",12727239,"Y"
"363","Sli-2001-EC15",19166558,"Y"
"364","Sli-2020-33441",29361572,"Y"
"365","Sli-2020-33442",16391322,"Y"
"366","Sli-2020-33443",14637417,"Y"
"367","Sli-2020-33445",17279568,"Y"
"368","Sli-2020-33446",5175691,"Y"
"369","SpiB-2021-253202",31227432,"Y"
"370","SpiB-2021-253203",18966581,"Y"
"371","SpiB-2021-253204",21964118,"Y"
"372","SpiB-2021-253205",2916328,"N"
"373","SpiB-2021-253301",40809871,"Y"
"374","SpiB-2021-253302",17120451,"Y"
"375","SpiB-2021-253304",40479398,"Y"
"376","SpiB-2021-253305",19719819,"Y"
"377","Sus-2006-EC01",16845278,"Y"
"378","Sus-2006-EC02",8427298,"Y"
"379","Sus-2006-EC03",4243436,"Y"
"380","Sus-2006-EC04",3186808,"Y"
"381","Sus-2006-EC05",3088214,"Y"
"382","Sus-2006-EC07",1635374,"N"
"383","Sus-2006-EC10",13311329,"Y"
"384","Swi-2003-EC01",3704,"N"
"385","Swi-2003-EC03",6331804,"Y"
"386","Swi-2003-EC07",15288163,"Y"
"387","Swi-2003-EC08",21540456,"Y"
"388","Swi-2010-EC03",34418,"N"
"389","Swi-2010-EC04",2916486,"N"
"390","Swi-2010-EC05",30547297,"Y"
"391","Swi-2010-EC07",25320735,"Y"
"392","Tah-2021-EC01",19863162,"Y"
"393","Tah-2021-EC02",21876621,"Y"
"394","Tah-2021-EC03",3732871,"Y"
"395","Tah-2021-EC05",9693165,"Y"
"396","Tah-2021-EC07",6985756,"Y"
"397","Tah-2021-EC08",27891464,"Y"
"398","Tah-2021-EC09",16207174,"Y"
"399","Tak-2010-EC01",20189196,"Y"
"400","Tak-2010-EC02",239299,"N"
"401","Tak-2010-EC03",2508247,"N"
"402","Tak-2010-EC05",11616389,"Y"
"403","Tak-2011-EC01",4262573,"Y"
"404","Tak-2011-EC02",6110294,"Y"
"405","Tak-2011-EC03",908,"N"
"406","Tak-2011-EC04",27073139,"Y"
"407","Takhi-2003-1",6613876,"Y"
"408","Takhi-2003-10",12490740,"Y"
"409","Takhi-2003-2",8854782,"Y"
"410","Takhi-2003-3",20047131,"Y"
"411","Takhi-2003-5",17185179,"Y"
"412","Takhi-2003-6",23361574,"Y"
"413","Takhi-2003-8",17487269,"Y"
"414","Takhi-2003-9",18519097,"Y"
"415","Tas-2002-EC01",5570159,"Y"
"416","Tas-2002-EC02",13825082,"Y"
"417","Tas-2002-EC03",21070967,"Y"
"418","Tas-2002-EC06",45724,"N"
"419","Tas-2002-EC07",23645305,"Y"
"420","Tas-2002-EC08",4392205,"Y"
"421","Tas-2002-EC10",23864673,"Y"
"422","Tin-2009-EC01",26424160,"Y"
"423","Tin-2009-EC02",27515277,"Y"
"424","Tin-2009-EC03",10967535,"Y"
"425","Tin-2009-EC05",14093943,"Y"
"426","Tin-2009-EC06",6180624,"Y"
"427","Tin-2009-EC08",16128063,"Y"
"428","Tin-2009-EC09",18145777,"Y"
"429","Tin-2009-EC10",20538660,"Y"
"430","Toz-2003-1",18462072,"Y"
"431","Toz-2003-2",20628676,"Y"
"432","Toz-2003-3",16490193,"Y"
"433","Toz-2003-4",43589838,"Y"
"434","Toz-2003-5",23705745,"Y"
"435","Toz-2003-6",20641116,"Y"
"436","Toz-2003-7",4681,"N"
"437","Toz-2003-8",106430,"N"
"438","Tri-1998-83",13410773,"Y"
"439","Tri-1998-91",20573427,"Y"
"440","Tri-1998-92",32056215,"Y"
"441","Tri-1998-93",21853482,"Y"
"442","Tri-1998-94",15653736,"Y"
"443","Tri-1998-95",5860082,"Y"
"444","Tri-1998-96",26273371,"Y"
"445","Tri-1998-99",16921068,"Y"
"446","Ver-2021-EC01",30932504,"Y"
"447","Ver-2021-EC02",16898409,"Y"
"448","Ver-2021-EC03",28975115,"Y"
"449","Ver-2021-EC04",27492521,"Y"
"450","Ver-2021-EC05",6462155,"Y"
"451","Ver-2021-EC06",3324646,"Y"
"452","Ver-2021-EC07",7376123,"Y"
"453","Ver-2021-EC08",12164200,"Y"
"454","Yak-2001-EC01",20107411,"Y"
"455","Yak-2001-EC03",16202073,"Y"
"456","Yak-2001-EC04",14641176,"Y"
"457","Yak-2001-EC05",19234231,"Y"
"458","Yak-2001-EC06",3901023,"Y"
"459","Yak-2001-EC07",13349399,"Y"
"460","Yak-2001-EC09",17882868,"Y"
"461","Yak-2001-EC10",29639634,"Y"
"462","Yet-2010-EC01",8397487,"Y"
"463","Yet-2010-EC02",14906738,"Y"
"464","Yet-2010-EC03",22129105,"Y"
"465","Yet-2010-EC04",1098555,"N"
"466","Yet-2010-EC05",30599093,"Y"
"467","Yet-2010-EC06",16648245,"Y"
"468","Yet-2010-EC07",21780296,"Y"
"469","Yet-2010-EC08",21545144,"Y"
